id_cust,id_acc,rate,date
8925,3512,3,2019-03-10
8245,13442,3,2019-10-30
82,7760,4,2016-09-29
7287,5396,3,2019-09-27
6085,16178,3,2020-02-01
7922,8465,1,2018-12-12
2782,4652,1,2020-08-17
5785,454,3,2016-01-05
965,1742,4,2021-12-17
2725,6806,3,2021-01-18
2268,3624,4,2017-11-14
3200,7936,4,2015-07-03
6576,10175,5,2017-06-08
3128,11311,5,2016-10-26
8917,14053,5,2019-12-14
8585,10425,4,2016-09-13
7723,16182,5,2015-12-13
5262,668,5,2022-02-03
2659,9430,1,2018-01-27
5801,6307,3,2021-04-20
2954,949,2,2016-07-10
1366,1680,1,2019-11-22
6276,6845,5,2017-09-04
4547,11618,2,2019-11-17
8994,7010,4,2019-11-14
5997,11679,1,2020-05-11
8299,3718,5,2015-02-13
4236,8372,3,2016-03-28
1348,11965,2,2015-04-30
9344,87,4,2016-02-23
1560,3758,3,2021-01-22
1171,13650,4,2016-06-11
7672,15385,3,2018-04-08
409,1370,4,2017-10-02
193,8026,4,2022-03-21
1269,8237,3,2018-09-27
92,7894,4,2018-10-28
6559,16076,4,2019-07-11
1844,14531,1,2021-12-05
2027,3894,4,2018-10-28
4371,2876,1,2017-10-19
6425,13623,4,2019-11-06
7464,1523,4,2020-05-07
7551,1279,2,2021-03-23
9040,5959,4,2016-02-10
732,1984,1,2017-03-26
8705,4470,2,2021-05-30
7223,2929,4,2021-04-05
6567,9473,5,2022-01-15
5422,12904,5,2018-08-15
5201,11285,4,2022-08-08
9096,8643,3,2019-12-16
2660,209,3,2022-11-14
5124,16478,2,2017-08-07
119,1922,2,2021-08-29
1016,14099,2,2016-04-30
3127,11675,4,2015-05-27
9187,10749,3,2018-04-04
9914,11343,4,2018-08-06
1220,3250,1,2019-12-06
340,12305,1,2015-02-28
6419,15140,5,2021-06-28
4130,6492,3,2018-07-22
7933,8285,1,2019-05-06
4054,4660,2,2016-07-21
528,14729,5,2022-04-03
2061,6828,4,2016-10-04
6852,13154,4,2022-08-08
5776,12774,3,2017-03-02
2048,9253,2,2015-08-10
1869,2931,3,2016-07-26
7624,3187,3,2017-07-10
6110,1663,2,2016-01-26
5476,14098,1,2017-03-09
1431,12653,5,2015-09-30
2064,14479,5,2021-10-10
3522,7788,4,2017-11-26
8280,10782,3,2019-10-26
384,1003,4,2015-02-07
8122,7766,4,2019-08-09
4700,11261,5,2018-05-23
7277,13828,3,2021-09-06
8563,7125,5,2020-03-29
1153,15463,5,2018-12-27
4685,2676,5,2017-06-14
5289,9338,5,2021-08-15
139,10104,4,2019-05-15
6,14413,5,2020-12-22
6562,11939,4,2016-07-24
8316,13632,5,2020-02-10
1423,16062,5,2018-03-11
4790,11652,5,2021-07-03
8590,3097,4,2017-10-21
3095,8282,1,2016-06-07
5689,11276,5,2020-06-11
1815,14111,2,2018-04-16
5126,8544,3,2021-03-19
2439,16122,4,2021-10-01
9515,14862,4,2016-03-15
2181,1876,4,2015-10-09
1200,12084,3,2019-01-26
930,13724,4,2020-07-09
1613,2270,5,2022-05-16
5156,7258,4,2022-10-30
2957,2961,4,2015-07-16
4519,16366,1,2018-02-16
5793,11147,5,2016-07-23
8796,7962,4,2018-12-14
3269,6324,5,2017-03-29
1259,3889,5,2015-05-25
7440,5269,2,2020-12-24
4648,1908,3,2015-01-21
1847,1767,2,2017-01-22
2357,3648,4,2018-12-30
1288,11569,3,2019-09-07
162,7669,3,2021-04-10
1675,4289,4,2019-10-08
9704,504,1,2018-01-11
1801,5491,3,2015-04-20
3912,10598,1,2017-03-21
5070,7662,4,2021-03-24
6068,2420,4,2018-10-24
1472,6110,2,2018-07-14
8241,9064,2,2021-04-22
4871,7799,4,2021-06-28
7737,7779,3,2016-06-23
5748,11860,2,2018-11-05
6409,7212,5,2021-06-30
551,15924,5,2015-08-08
6425,14235,3,2015-07-07
2524,12673,2,2018-11-19
7551,8099,5,2015-12-17
5120,4954,5,2017-05-05
9438,7841,5,2020-07-05
1309,7856,4,2021-07-13
9670,5220,4,2019-12-30
3824,14551,4,2021-05-23
3226,14263,4,2018-01-28
6465,15484,4,2019-10-04
4174,1353,5,2015-01-13
6903,8071,5,2022-09-26
3587,4912,4,2020-07-31
6510,7977,4,2018-07-11
2707,10361,3,2019-09-05
8875,1744,2,2017-02-23
7741,4068,4,2019-03-06
3682,4845,2,2015-05-23
2083,5529,5,2019-07-27
6916,15958,5,2021-10-08
7725,8410,5,2015-08-05
7232,6070,4,2017-05-23
8136,11194,2,2019-05-29
9294,12675,4,2017-04-14
9966,10513,1,2022-01-04
793,12700,4,2017-04-26
4753,56,1,2021-05-12
3278,1244,4,2020-08-19
6629,5543,1,2021-12-13
6544,3318,4,2015-09-22
7934,13764,5,2015-11-21
4005,10934,3,2016-07-05
7227,8686,2,2019-09-28
1690,7775,5,2021-07-25
6044,8094,2,2016-11-03
45,551,5,2015-08-21
6585,16445,5,2017-04-11
377,9586,5,2022-08-07
1748,11339,4,2020-04-13
6742,10098,5,2017-06-30
3456,14051,3,2019-11-16
6265,5975,3,2018-06-24
1780,10994,1,2021-04-13
3827,15225,1,2021-01-20
2343,10729,2,2020-11-13
1929,9801,5,2018-08-04
381,4571,5,2016-03-14
1405,9902,4,2020-10-10
7085,5486,5,2018-01-03
9116,15317,4,2016-11-29
9120,1384,3,2019-10-13
1029,4773,5,2015-07-23
4972,12590,2,2016-12-24
6113,9010,2,2018-05-20
1588,1861,3,2022-08-25
5185,8789,1,2020-04-14
1725,163,5,2020-10-17
7932,2993,4,2016-09-15
6787,7785,3,2017-01-31
8636,6546,1,2019-09-17
6691,1073,3,2015-04-03
4498,14830,5,2020-06-07
3125,9497,1,2018-03-08
9807,6793,4,2018-02-24
308,1596,2,2018-07-13
3698,7950,1,2015-08-22
588,10587,2,2016-11-02
7425,875,2,2022-05-25
4532,8680,1,2021-04-05
715,12497,4,2022-05-30
9431,16173,4,2020-06-04
5531,8954,4,2018-09-30
8663,13317,4,2022-07-21
5951,2903,4,2017-08-15
6188,6865,1,2015-01-03
5347,11231,1,2018-09-30
9655,6776,3,2017-08-21
2938,15184,3,2018-06-05
9538,2476,2,2017-08-09
3259,8586,3,2021-11-20
8449,15629,1,2020-02-27
4999,3170,1,2020-09-24
1343,15144,5,2021-07-30
4053,16201,5,2018-12-15
2567,1311,5,2017-05-18
4370,840,4,2020-06-08
3123,13886,5,2015-11-16
3897,16059,5,2018-03-27
2645,8645,4,2018-01-20
5675,7904,5,2022-09-23
309,7801,2,2020-12-02
8966,11441,5,2017-02-27
9605,6656,5,2020-02-08
8238,3305,5,2022-06-18
8075,16232,4,2017-07-10
2276,2880,4,2022-11-04
8479,1792,1,2015-01-30
6525,15005,4,2018-08-04
2524,1191,1,2015-05-14
3197,16086,1,2016-04-02
888,6496,1,2015-06-25
4740,10016,4,2016-04-24
2322,9377,5,2016-09-27
5855,6018,4,2018-02-08
2520,6749,5,2016-05-17
8616,14784,4,2018-04-01
8528,5358,3,2020-12-15
2569,13139,4,2017-03-23
153,10644,2,2019-02-08
1589,1995,3,2017-08-15
6529,11286,2,2019-03-12
1179,5881,4,2020-10-07
1595,11782,4,2017-08-16
1036,13574,4,2020-06-28
4462,13409,4,2019-02-22
5164,14538,1,2016-04-21
6614,10271,5,2021-01-13
8647,5552,5,2018-04-25
253,2705,4,2019-01-26
1448,11533,5,2018-10-26
4997,361,2,2020-04-16
8426,10305,4,2019-08-09
8767,14776,4,2020-04-08
6733,12851,5,2015-10-09
7729,10414,2,2018-02-20
9787,3806,4,2016-05-30
7893,10353,3,2015-08-30
71,11729,5,2015-12-26
6569,6818,4,2017-09-15
4672,12569,5,2017-04-14
8220,11039,4,2022-08-26
4632,16247,5,2015-09-24
6063,14236,2,2017-06-01
5469,11729,1,2019-05-17
7728,2253,4,2016-01-01
7530,6830,3,2018-03-16
5199,12032,5,2022-12-08
6627,12743,2,2021-08-28
1245,6278,5,2021-03-28
2628,3753,3,2020-11-19
1766,8697,5,2022-08-04
4055,10585,4,2020-12-08
9835,16086,2,2016-11-24
4788,915,2,2020-06-10
9370,10498,5,2015-07-09
4247,5289,3,2021-07-23
7563,10176,2,2016-06-04
4353,4815,4,2016-10-14
8957,6023,5,2018-09-01
7963,9861,4,2021-03-28
1557,9936,4,2019-01-01
4232,12701,5,2015-02-01
5952,14856,4,2016-09-29
2367,12987,1,2020-01-30
9880,6573,2,2015-04-28
126,7715,5,2017-11-23
4712,14954,4,2015-12-28
7329,8699,3,2018-12-29
9337,1625,4,2018-10-18
459,10448,3,2021-06-08
7166,6593,4,2019-01-13
1211,8857,4,2021-08-07
9529,11956,1,2016-03-05
9858,14600,3,2020-01-16
4782,14142,5,2022-01-24
181,7327,4,2015-10-08
2148,9996,5,2020-08-21
9329,10408,2,2019-02-15
8171,3031,5,2016-09-23
5109,8018,4,2022-09-13
8180,6823,4,2017-06-26
8882,8627,5,2019-02-27
3065,2891,2,2021-01-25
4598,8585,5,2022-08-31
9689,1644,5,2017-07-07
1131,7945,2,2016-05-24
1645,3093,5,2020-06-27
1985,861,5,2017-04-16
8650,16186,3,2019-03-24
9788,10514,4,2016-10-18
8926,10035,4,2019-02-10
6365,2845,4,2021-04-10
8758,4049,1,2022-02-13
5799,2105,5,2020-09-02
7826,3719,1,2022-06-16
4557,5894,2,2015-09-11
7636,3428,2,2022-03-16
3877,13330,3,2019-05-16
9740,14495,4,2015-01-14
6129,5486,3,2015-10-20
3990,10996,4,2019-02-13
6024,14498,5,2022-07-27
8406,11732,2,2021-02-10
648,1758,4,2015-08-10
8230,10475,5,2019-06-17
936,2308,5,2021-04-11
3878,9914,4,2015-04-25
2688,14817,2,2018-06-18
8010,11447,4,2019-09-04
8624,14125,4,2016-09-25
1119,7212,4,2021-09-14
5468,7134,3,2017-04-10
4077,9642,5,2019-07-18
2122,8318,5,2022-07-07
9625,14671,2,2017-01-18
6893,2185,5,2015-08-28
3277,3732,2,2020-01-28
9200,13713,5,2018-02-15
5036,5675,1,2017-06-12
9759,15485,3,2017-09-28
2990,4838,4,2019-01-24
8247,16050,1,2016-05-26
9961,7748,4,2021-05-04
1978,13850,1,2022-10-28
4888,6854,1,2020-07-12
1540,13,3,2022-07-21
6239,2314,3,2022-10-29
4875,12963,4,2022-11-29
4533,6263,4,2016-10-27
4339,7221,4,2015-01-09
2249,6700,5,2015-12-20
5991,5242,4,2017-10-03
793,1968,3,2020-11-25
6881,10493,3,2019-11-18
3891,5322,4,2018-12-20
9142,1285,5,2022-02-04
7943,7365,5,2017-07-13
124,12723,4,2017-11-10
3322,12116,4,2016-02-25
1033,5525,1,2016-08-24
9958,12001,2,2016-03-01
4110,12539,5,2022-04-11
3802,10395,4,2021-03-14
4529,10452,3,2018-04-20
9162,6748,4,2017-08-20
5377,9626,5,2021-07-08
5548,12701,1,2020-05-01
8236,7723,1,2017-01-12
207,12081,5,2018-08-06
309,14515,3,2020-01-07
1923,12894,1,2019-02-14
1927,13491,2,2018-06-09
4271,10929,2,2021-11-18
2454,6998,5,2015-12-12
1390,8650,5,2018-04-01
4871,274,4,2021-09-20
3979,2609,4,2016-01-26
6748,7245,5,2018-03-31
4455,10484,5,2019-08-01
5405,12085,3,2015-06-13
4273,8859,1,2015-12-17
8800,14342,4,2021-10-31
8633,10744,5,2016-06-05
6137,1484,5,2021-08-01
2344,1906,4,2021-08-12
1588,1741,5,2019-06-30
696,9708,4,2016-07-11
2375,1740,5,2019-03-24
8426,13045,4,2015-09-08
1720,778,5,2020-12-01
7967,3340,5,2021-10-26
8430,2057,1,2020-05-11
5986,13708,4,2016-05-05
3976,2759,2,2018-04-17
5894,10458,3,2016-07-01
4788,350,5,2021-04-26
9973,12512,5,2020-09-05
6190,9559,4,2016-01-06
7656,5212,1,2019-02-25
5361,14522,4,2020-10-17
3759,13415,5,2022-08-10
1172,1247,2,2016-04-05
6993,8167,4,2016-03-11
9141,11133,2,2018-09-25
6685,1939,5,2015-09-08
8155,12236,4,2017-04-02
539,14300,4,2018-05-28
5598,10369,4,2016-06-08
8997,12449,1,2022-02-27
8103,10326,2,2016-10-01
2911,2270,1,2022-09-26
5541,12062,2,2016-11-20
2145,5402,3,2017-04-20
7480,11290,3,2021-04-13
1760,6295,3,2019-06-03
5414,15352,5,2015-10-26
5615,4710,4,2021-11-13
3677,10671,4,2018-01-21
889,8723,4,2015-08-11
8259,7505,4,2020-07-03
9132,12374,4,2015-08-04
8357,9801,4,2020-10-15
3527,5395,5,2021-01-06
5770,15489,5,2019-12-01
5418,2035,4,2015-03-06
2947,16303,5,2020-04-08
6147,15075,4,2020-05-12
7512,1826,4,2016-02-23
6643,5600,4,2021-02-05
9257,5588,3,2016-04-03
9311,4961,4,2016-09-25
5340,14050,4,2015-09-29
4260,13228,4,2016-01-16
515,7912,2,2020-10-24
3988,11170,4,2017-11-10
2450,7588,5,2019-04-05
6736,1619,5,2018-03-16
9193,10362,5,2016-05-04
784,9210,4,2018-08-07
8862,8077,4,2022-11-24
6378,14459,5,2021-04-25
9734,119,2,2019-11-21
1373,13536,3,2018-03-13
6403,8449,5,2016-08-28
1952,6556,1,2018-12-10
2587,10360,3,2017-12-11
6979,7306,2,2021-08-12
5156,3636,2,2022-06-18
2413,6619,4,2017-08-08
4946,3137,4,2018-01-21
7328,3274,1,2019-03-08
7183,3452,3,2016-03-01
4205,15852,5,2015-04-27
2281,2639,5,2021-08-19
7165,4725,5,2016-03-18
8108,9932,1,2019-06-11
2537,9295,2,2021-12-30
4872,3494,5,2020-08-26
4490,628,3,2019-08-22
9869,10455,4,2016-11-23
5288,12055,1,2016-06-23
2380,7016,3,2018-01-05
9025,6025,5,2018-04-12
1468,4930,5,2019-06-25
611,11086,5,2016-05-13
4726,1257,4,2017-05-19
4274,12663,3,2018-09-05
8302,2420,5,2016-11-02
5038,9059,5,2020-03-18
3662,6817,4,2018-07-16
9382,6310,5,2020-01-21
6733,4563,4,2018-08-10
8602,2474,4,2015-09-22
5304,15901,3,2019-04-20
3176,6963,5,2015-12-05
2000,5837,5,2015-02-11
3146,8453,5,2020-02-26
9657,6812,4,2020-08-15
2152,319,5,2015-10-23
9145,6119,5,2016-09-17
1800,12049,3,2015-09-12
5572,5182,5,2015-07-03
7955,11872,1,2022-09-18
7145,7085,3,2022-10-12
3907,14321,1,2021-11-04
6425,8065,4,2018-01-25
7081,7315,4,2021-01-13
6737,6617,5,2016-05-13
4074,8809,1,2021-09-19
2672,10378,5,2021-07-05
9365,8253,5,2018-06-04
2244,7109,5,2017-07-13
5766,15126,4,2019-12-31
1441,8779,5,2020-09-12
3034,6313,4,2021-11-06
6287,3232,1,2017-07-01
8509,3195,5,2021-03-17
3453,8071,5,2017-05-01
9820,4436,5,2019-01-22
2401,7798,5,2016-08-14
2113,1181,4,2016-05-28
6334,14064,5,2022-01-24
6687,14630,3,2021-07-20
2078,3062,4,2016-12-20
8746,14294,4,2020-07-11
4824,524,4,2016-05-22
6567,12367,5,2020-07-19
3181,6486,5,2016-11-12
528,2446,4,2018-04-08
5120,5561,5,2016-04-15
7154,3075,5,2021-08-24
5906,674,5,2016-02-20
5036,5649,2,2019-09-30
2451,9705,3,2017-12-25
723,9987,5,2015-08-12
2197,7337,3,2019-09-22
1050,4530,2,2018-12-03
8461,10444,4,2015-01-20
2433,15297,3,2016-12-20
2639,6597,5,2017-11-03
8512,9095,4,2015-08-23
5481,13160,3,2022-05-27
2384,10763,1,2017-12-02
7129,386,1,2019-11-14
1010,6324,4,2017-09-23
5820,9661,4,2021-07-17
9049,14421,1,2020-07-26
925,2579,3,2017-05-14
1153,4187,1,2016-01-17
1865,10510,2,2016-07-29
7950,1035,5,2017-03-04
5261,14449,5,2019-11-27
315,13988,4,2022-11-27
2670,5910,5,2016-06-05
4023,4952,5,2017-03-12
2461,2284,5,2016-12-07
514,9351,5,2015-05-15
8887,3409,5,2018-07-16
6293,8814,1,2017-04-15
121,8575,2,2021-05-27
4411,8913,1,2021-12-27
7453,13464,4,2018-09-24
5338,8510,4,2016-10-01
8418,5649,5,2020-07-21
3522,5048,1,2015-04-21
3439,9156,5,2016-05-10
4924,227,4,2019-08-18
7643,3390,1,2018-02-06
9647,6159,3,2019-12-28
3889,11387,2,2017-03-07
3754,12553,1,2015-11-27
9183,3788,2,2020-03-21
7912,13813,1,2015-04-24
2097,15418,3,2016-05-26
3479,9436,4,2019-05-07
423,118,4,2020-12-22
7590,6917,3,2021-05-17
1205,3361,5,2019-11-09
7271,14455,5,2017-11-19
2601,4390,4,2021-02-21
1116,10637,4,2017-01-16
7600,11148,1,2019-08-08
5675,12428,4,2017-05-15
1294,11891,5,2019-11-29
4368,7770,5,2015-04-25
3875,7211,3,2015-07-21
9565,1139,5,2016-11-30
2694,4320,1,2020-09-19
2184,9928,4,2015-08-27
2181,875,4,2020-02-04
4842,10809,4,2021-01-30
6622,10019,4,2021-08-31
9830,5390,5,2018-11-08
7215,7580,1,2017-06-04
1383,6659,2,2021-02-13
4841,15722,3,2016-09-10
5749,9027,4,2019-12-16
3316,11825,4,2018-02-24
1275,876,2,2016-04-11
7686,11669,5,2015-01-15
4060,11091,5,2015-02-25
1573,12380,5,2018-08-24
5293,13130,5,2015-06-11
2763,10276,5,2019-07-12
3859,1570,3,2016-04-10
1070,181,5,2020-02-22
6736,12506,5,2016-03-13
24,7573,5,2017-01-30
8388,10451,4,2015-10-12
9504,15526,2,2021-10-14
3405,15804,5,2021-01-28
763,9358,5,2020-07-29
2761,12832,4,2015-08-01
7387,14561,3,2015-07-29
783,5562,1,2018-12-06
4790,12793,5,2018-06-15
5560,4977,2,2018-08-20
3964,13407,5,2019-11-28
8302,13961,4,2022-08-30
4039,13255,4,2015-10-19
367,14738,4,2018-07-09
8948,5110,5,2022-05-22
771,11278,3,2021-08-23
8239,13515,5,2019-11-30
7331,1045,5,2017-05-30
8654,10643,1,2016-06-30
7612,13550,5,2015-04-20
3649,3384,5,2016-07-14
8534,7876,4,2021-08-16
2818,12834,3,2020-08-23
3402,6168,5,2018-12-23
8510,15396,4,2019-07-06
2619,12419,5,2019-08-08
7304,15172,5,2022-03-18
4744,8896,4,2017-06-02
7732,12488,5,2019-11-22
6015,3775,1,2016-11-08
4113,1048,2,2020-09-26
1382,16349,5,2019-05-25
7155,5725,4,2021-07-09
1224,11712,4,2021-01-25
4708,7972,3,2018-08-29
52,8021,5,2019-11-06
1077,7781,5,2017-09-01
2311,12979,5,2018-11-18
5238,10096,5,2019-07-12
6537,3395,2,2021-09-22
1301,8316,5,2016-04-09
1981,11279,2,2016-05-24
1171,4433,5,2018-04-08
7947,6082,4,2016-03-12
1736,1540,4,2017-07-15
8024,7989,1,2015-07-14
1780,5462,5,2017-06-26
6505,6644,4,2019-12-15
6897,2542,4,2017-11-17
9778,5766,1,2021-09-14
7693,12082,2,2019-03-23
8193,15518,4,2016-12-08
5138,11416,4,2019-05-29
4642,7945,5,2019-11-19
4674,10201,5,2020-02-03
3090,13378,1,2020-12-07
1578,5148,5,2022-07-14
524,16197,5,2016-02-05
3599,8968,4,2016-02-06
6901,5962,5,2017-03-06
4325,14793,5,2022-08-14
6991,7818,5,2018-11-24
4853,1867,5,2016-06-01
3475,216,5,2020-06-20
6288,9865,5,2021-04-23
3713,2640,5,2018-11-29
3281,8785,5,2016-04-13
9905,1974,4,2018-04-09
5766,3906,5,2021-08-28
9950,9331,5,2021-11-21
9864,13324,5,2021-04-10
7826,9535,4,2017-12-12
6636,15716,2,2015-07-14
5915,3345,5,2020-06-04
6818,6980,5,2018-07-28
3290,7825,4,2019-03-22
919,7730,1,2018-06-18
2057,15879,4,2021-12-02
6895,9019,3,2022-04-25
8178,4245,5,2017-06-20
299,7265,5,2015-04-15
2522,1857,4,2019-03-18
8811,14379,5,2021-01-17
8448,724,4,2022-12-11
6203,11796,2,2021-07-21
2718,1333,4,2015-10-08
2256,9209,4,2016-01-20
8714,13470,2,2018-08-30
8583,15107,1,2016-09-20
6164,13202,3,2019-09-25
6923,335,5,2020-08-18
1330,3668,3,2019-03-15
767,9584,3,2016-09-24
7724,11400,2,2015-06-28
8207,15643,5,2019-08-15
8747,8252,1,2015-11-06
223,12505,4,2018-11-27
4955,7046,4,2016-06-08
597,4244,5,2020-03-16
7471,3843,2,2018-05-29
3041,9768,4,2016-03-25
7476,8509,1,2018-07-14
1905,6451,2,2021-06-04
6334,3555,1,2017-11-10
1405,2031,4,2022-01-03
7152,8638,5,2016-04-07
8195,9829,5,2017-01-25
4556,331,5,2022-04-26
9014,12743,3,2015-07-19
1034,5954,1,2021-10-18
4948,16291,4,2019-02-23
5601,11669,2,2017-09-24
9490,6135,1,2017-05-11
8349,9328,4,2018-02-08
3136,6413,5,2021-06-29
6303,1575,4,2018-09-05
3617,15406,4,2015-10-24
4123,1261,3,2017-03-25
1708,7409,3,2020-05-07
7900,8854,5,2020-02-09
8898,13562,2,2019-04-14
3024,11677,5,2019-12-31
490,4534,5,2018-07-07
9076,14837,4,2022-03-07
2393,12106,5,2020-08-25
8466,4183,5,2019-11-25
1122,10834,4,2016-07-16
8469,12010,5,2020-08-13
9806,393,3,2022-01-30
1456,11876,4,2019-09-01
4362,2789,5,2021-08-06
3365,1280,4,2017-10-02
4509,2377,3,2021-07-28
8471,3590,5,2022-12-11
3312,10982,4,2019-01-03
2162,4836,4,2017-04-11
2925,12856,5,2022-08-27
454,15273,4,2019-05-24
7572,2825,3,2020-09-08
8357,10211,4,2017-10-05
9314,11751,5,2019-08-22
8520,1327,5,2021-10-30
2198,2178,4,2022-01-24
2790,8363,3,2022-02-09
5374,210,5,2022-08-25
5671,12840,4,2019-09-12
1920,1484,4,2019-07-29
4278,1158,3,2022-02-09
3780,8564,3,2019-02-23
2978,9615,5,2021-01-02
8934,3655,5,2021-04-04
5394,10605,4,2015-01-13
3475,15772,2,2016-04-24
1237,2659,5,2019-03-30
4030,2010,2,2015-01-06
8891,1813,1,2022-09-19
159,8064,4,2015-05-30
7886,12087,4,2017-06-02
8005,9491,4,2020-10-04
6296,147,4,2017-10-22
2887,4874,4,2016-02-29
8018,11961,4,2017-08-18
1561,2809,3,2017-10-22
3790,11956,5,2015-10-08
8654,4903,5,2019-12-18
4388,9539,4,2015-06-03
3701,12351,5,2022-04-30
8520,4935,5,2016-06-07
3586,3156,3,2019-09-21
350,5200,5,2018-10-04
9360,10891,5,2020-02-20
9286,10680,5,2017-06-21
173,137,5,2017-10-06
5850,12641,4,2020-05-26
5186,3718,4,2017-10-20
8394,11957,5,2016-04-15
6933,3214,4,2019-07-10
7713,6497,5,2019-03-12
1231,1335,5,2021-03-21
7003,9889,5,2017-05-30
155,14734,5,2019-03-08
9513,14445,5,2017-06-10
2103,1467,5,2022-05-08
8602,15322,3,2018-10-03
9990,11336,4,2016-12-06
5722,10440,4,2020-12-18
7586,8622,5,2021-10-03
3496,10142,4,2016-04-08
2257,2336,5,2017-06-05
5124,7317,2,2018-01-04
2976,11866,5,2015-05-21
536,12103,5,2019-08-18
5040,10942,5,2017-09-19
6968,1976,5,2018-12-22
6440,11203,5,2017-01-09
3190,14372,4,2021-05-24
6582,11035,4,2021-01-08
9000,10691,1,2022-01-06
6669,14351,5,2016-10-06
5872,13539,5,2015-12-10
3926,12888,4,2017-10-02
7085,176,5,2016-03-01
3969,10127,4,2021-01-26
8792,2121,5,2016-12-11
5922,479,4,2018-07-18
7930,2944,5,2015-07-05
4348,2496,5,2017-05-16
5823,13546,5,2017-09-15
1968,14603,5,2016-09-04
1550,666,3,2022-10-20
5275,14881,3,2016-03-22
3016,9473,3,2022-02-10
3488,2802,5,2015-09-09
2086,2688,5,2015-06-14
2023,11804,4,2017-01-15
975,1383,4,2016-12-13
3945,7672,4,2016-01-04
2857,2029,3,2020-08-31
8639,13050,4,2015-12-25
2272,8124,5,2017-08-24
3276,10002,2,2018-01-06
