id,name,neighborhood,rating,price
161,Tree-lined Street 5 min to Times Sq,Hells Kitchen,4.333333333333333,175.0
162,Loft Suite,Greenpoint,4.666666666666667,339.0
163,Loft Suite,Greenpoint,4.666666666666667,328.0
164,Beautiful New Garden Apartment,Upper West Side,,182.0
165,"Private, Comfy, Cozy, Brooklyn close to Manhattan",Bedford-Stuyvesant,3.25,198.0
166,Loft Suite,Greenpoint,5.0,328.0
167,Loft Suite,Greenpoint,4.0,339.0
168,Loft Suite,Greenpoint,5.0,339.0
169,Loft Suite,Greenpoint,,328.0
170,Loft Suite,Greenpoint,,333.0
171,Stylish East Village Flat,Stuyvesant Town,4.5,125.0
172,Panoramic View Central Park & NYC,Upper West Side,,375.0
173,Litas New York Apartments - Analita's Suite,Harlem,,150.0
174,Serene Park Slope Garden Apartment,Park Slope,5.0,190.0
175,Husband & Wife Art-Filled Apartment,Clinton Hill,5.0,110.0
176,Beautiful UES apartment,Upper East Side,5.0,190.0
177,Cozy Renovated 2 Bedroom Apartment 20min from City,Bedford-Stuyvesant,3.0,213.0
178,GORGEOUS TWO BEDROOM FLAT IN MANHATTAN,Harlem,,395.0
179,Ideal Brooklyn Brownstone Apartment,Bedford-Stuyvesant,,185.0
180,FABULOUS 1 BEDROOM IN MANHATTAN,Harlem,,200.0
181,PLUSH AND SPACIOUS 2-BEDROOM IN NYC,Harlem,5.0,395.0
182,Sunny! 2br Steps to train/restaurants - 15 to NYC,Bedford-Stuyvesant,4.0,193.0
183,Private Entrance - Private Parking,Williamsburg,,120.0
184,Spacious & Stylish Chelsea One Bedroom Apartment,West Village,4.0,375.0
185,FABULOUS & LARGE 2 BEDROOM IN NYC!,Harlem,,225.0
186,CHELSEA 1 Bdrm Plus Sleeping Loft!!,Chelsea,4.5,195.0
187,Williamsburg Exposed Brick Loft,Williamsburg,3.0,200.0
188,Your own 2 Bedroom Bedford and Grand Williamsburg,Williamsburg,4.0,225.0
189,BEAUTIFUL 2-BEDROOM TOWNHOUSE NYC,Harlem,5.0,395.0
190,"Oceanview,close to Manhattan",Arrochar,5.0,279.0
191,"Large, Art & Light Filled Apartment Downtown NYC",Chinatown,,95.0
192,Central Bedford Avenue Apartment,Williamsburg,5.0,185.0
193,Welcome to Brooklyn! Bed-Stuy,Bedford-Stuyvesant,,83.0
194,Private Cozy Studio apartment / 20min taxi to JFK,East New York,,165.0
195,Quiet One Bedroom in Park Slope,Gowanus,,100.0
196,Tribeca Artist Loft 1000 sq/feet,Tribeca,5.0,505.0
197,Spacious & Sunny Safe Haven,Fort Greene,,199.0
198,Apartment in Best location in NYC,West Village,3.0,145.0
199,1500+ sq ft 2BR West Village Loft,West Village,5.0,375.0
200,"Wonderful Studio In Brooklyn, NY!!!",Bensonhurst,4.0,110.0
201,Spacious Townhome Apartment,East Flatbush,4.5,101.0
202,"Huge, Sunny, Open Loft in Brooklyn",Bushwick,,110.0
203,"Lovely Bdr in Harlem, Manhattan",Harlem,,85.0
204,Harlem on the Range,Harlem,2.333333333333333,135.0
205,Landmark 2 Bedroom West Village NYC,West Village,4.5,332.0
206,Entire 2 Bedroom Apartment in Williamsburg,Williamsburg,4.0,232.0
207,Huge & Swank 2 BR Loft w/ Stellar Rooftop Views!,Bushwick,,295.0
208,Big Bright E Village 2BR (Baby Nursery),Gramercy,4.5,275.0
209,2 bedroom apt in charming brick townhouse,Fort Greene,4.0,135.0
210,BEST DEAL IN CHELSEA 1 bdrm NYC,Chelsea,5.0,149.0
211,Cozy&Clean in a great neighborhood,Harlem,4.0,157.0
212,Cozy two bedroom in L.E.S.,Lower East Side,,240.0
213,Prime Williamsburg 1/BD New Condo,Williamsburg,2.0,185.0
214,Lovely Apartment,Prospect Heights,,150.0
215,"Luxury Williamsburg, Brooklyn LOFT",Williamsburg,3.5,250.0
216,Real Williamsburg Artist Loft,Williamsburg,3.75,160.0
217,charming alcove studio with balcony,Williamsburg,3.0,140.0
218,Upper East 1 BDRM Great Location!,Upper East Side,4.0,190.0
219,Luxury NYC 2 Bedroom with Terrace,Upper East Side,4.0,496.0
220,2 Bedroom apt.in Manhattan/New York,Lower East Side,5.0,250.0
221,Cozy multi-leveled apartment!,Shore Acres,5.0,100.0
222,Cozy Upper East Side Studio,Upper East Side,5.0,162.0
223,Sunny 2 bdrm W'burg Duplex w/ 3 beds. 5* superhost,Williamsburg,3.333333333333333,335.0
224,"Awesome views, Central location",Murray Hill,2.6666666666666665,349.0
225,"Beautiful 2bd Apt near BK Museum, Crown Heights",Crown Heights,,195.0
226,Great studio apt near Central Park,Upper West Side,,140.0
227,Hudson Yards area. Renovated apartment,Chelsea,4.0,350.0
228,SLEEP 4 APARTMENT  IN BROOKLYN,Bedford-Stuyvesant,5.0,140.0
229,"Your Haven Awaits At ""Emma's Place""",Bedford-Stuyvesant,,145.0
230,"Brooklyn: Bright, Spacious & Cozy + Good Vibes",Crown Heights,5.0,50.0
231,Creative Director's Chinatown Loft,Chinatown,1.0,225.0
232,Monthly Apartment Rental,East Harlem,4.5,145.0
233,Artist's Flat in Historic Building #10263,Williamsburg,4.0,200.0
234,Bright + Near Central Park + Columbia University!,Harlem,,75.0
235,Prospect Heights Views & Vanderbilt,Prospect Heights,3.6666666666666665,115.0
236,HUGE Sunny Duplex Loft with Garden,South Slope,,300.0
237,DESIGNER EAST VILLAGE APARTMENT,East Village,,250.0
238,"Easy, comfortable studio in Midtown",Midtown,4.0,125.0
239,1 Bd. MANHATTAN NY Entire Apt. 1 yr-6 months min.,Washington Heights,3.75,88.0
240,Luxury Designer Home Downtown Manhattan,Lower East Side,5.0,328.0
241,Quiet Artsy 1 Bedroom Midtown Apt!,Hells Kitchen,,199.0
242,"LES private apt, 1 bedroom & more",Lower East Side,,200.0
243,"Heavy Sun, Quiet, Arty 1 Bedroom",Sunset Park,4.5,70.0
244,Fantastic 1-bedroom basement apt.,Ridgewood,,68.0
245,Artist apt in Park Slope w/backyard,Park Slope,5.0,175.0
246,Spacious & Charming by Prospect Pk,Prospect-Lefferts Gardens,3.0,65.0
247,Exquisite Spacious Studio in Midtown,Chelsea,,289.0
248,Designer's 2 BR in the heart of the East Village,East Village,5.0,340.0
249,Spacious 1 bed near subways/park,Crown Heights,,150.0
250,Luxe Townhome with Roof Terrace | Family Friendly,Carroll Gardens,3.0,550.0
251,"The Carlton, Brooklyn brownstone Duplex w/ garden",Prospect Heights,,650.0
252,Sunny Entire Apt with Romantic Bedroom,Prospect-Lefferts Gardens,3.0,100.0
253,2 bdrm  Entire Furnished Apt.  (R),Maspeth,5.0,134.0
254,Midtown NYC - 1 Bedroom Apartment,Midtown,,250.0
255,Cozy 2 BD in Midtown West,Hells Kitchen,,110.0
256,Park Slope Sunny Studio,Park Slope,5.0,66.0
257,Luxury L-Shape Studio + 3 cats,Sheepshead Bay,3.0,50.0
258,Gorgeous Chelsea loft in the heart of Manhattan,Chelsea,4.333333333333333,399.0
259,TriBeCa Amazing River View Loft 3BR,Tribeca,3.0,500.0
260,Gorgeous Summer Duplex/Yard sublet,Bedford-Stuyvesant,,145.0
261,Studio apartment by Columbus Circle,Hells Kitchen,5.0,103.0
262,Brooklyn Amazing 2bedrm Luxury Apt,Crown Heights,4.0,145.0
263,NYC studio in St Marks Place & 1 Ave,East Village,3.5,180.0
264,Beautiful 2-BDRM Brownstone Apartment,Harlem,3.5,200.0
265,STUNNING E Vill Penthouse,East Village,5.0,225.0
266,Big Beautiful Railroad in Brooklyn,Bushwick,4.0,130.0
267,Gorgeous 2 bdrm in Carroll Gardens,Carroll Gardens,4.0,150.0
268,SUPER APARTMENT GREAT AREA EV!!!,East Village,,300.0
269,Full apartment close to G & L train,Greenpoint,,114.0
270,LUXE Apt & Garden (Sanitized),Long Island City,,213.0
271,Rent in beautiful Sunnyside Gardens,Sunnyside,2.0,125.0
272,Gorgeous Unique Garden-Terrace-Apt.,East Village,,240.0
273,Designer Studio in the HEART of WV!,West Village,5.0,197.0
274,Sunny Unique Gramercy Glass Loft,Kips Bay,4.0,200.0
275,Williamsburg Brooklyn LOVE Home,Williamsburg,4.0,204.0
276,Charming West Village One Bedroom,West Village,2.0,145.0
277,Large home in most desirable Brooklyn hood!,Clinton Hill,4.5,375.0
278,Brooklyn Brownstone full floor ProspectPark 900sft,Prospect-Lefferts Gardens,3.333333333333333,370.0
279,Loft-Like Park Slope 3bdr Duplex,South Slope,2.0,300.0
280,"Family friendly, steps to subway & a terrace!",Boerum Hill,3.0,333.0
281,Modern 1br by ocean in Brooklyn,Fort Hamilton,,105.0
282,"1 bdr apt, sunny & artsy, 4 min walk to the beach",Brighton Beach,,75.0
283,Lovely Central East Village 2 Person Entire Apt,East Village,1.0,185.0
284,"Bright, Airy Loft Apt in Bushwick",Bushwick,5.0,90.0
285,800sqft apartment with huge terrace,Bushwick,,115.0
286,3 bdrm family friendly home in central Park Slope,Park Slope,4.5,295.0
287,Renovated Spacious 1BR Upper West,Upper West Side,1.5,199.0
288,Cute east village apartment.,East Village,,175.0
289,"All Charm: Lush Garden, Huge Kitchen, Peace",Greenpoint,4.333333333333333,159.0
290,RENOVATED SUNNY LARGE 1 BD WITH ART,Clinton Hill,,250.0
291,☆ 2BR East Village ☆ Sleeps 5 | BEST LOCATION ☆,East Village,4.666666666666667,269.0
292,Duplex Loft in Fort Greene,Fort Greene,4.0,133.0
293,Bright and Quiet 2 BR in Park Slope,South Slope,4.75,180.0
294,Fabulous  2 bdr discount on weekly/monthly stays,Crown Heights,,175.0
295,The Tudor Apartment - 2 Bedroom,Bayside,5.0,125.0
296,Stylish Loft,Bedford-Stuyvesant,5.0,90.0
297,10min Walk & 15mins to Tourist Spot,Jackson Heights,,111.0
298,Great Apt IDEAL Location 900 SF,Lower East Side,4.666666666666667,200.0
299,"NYC 30 min by Subway, Brooklyn 2",Brighton Beach,,169.0
300,Bright and Spacious Manhattan,Harlem,,99.0
301,"Beautiful, Quiet, Spacious 1BR - UWS by parks",Upper West Side,3.0,165.0
302,Long term co-living apt close to Manhattan,Bedford-Stuyvesant,4.5,69.0
303,"Charming Home, Best West Village St",West Village,,200.0
304,Airy apt in classic brownstone 1 minute to J train,Bushwick,,125.0
305,Lux One-bed Central Park View UWS,Upper West Side,5.0,250.0
306,Beautiful Fresh Studio for Sublet,Crown Heights,4.5,175.0
307,Elegant Uptown Historic District Garden Apartment,Washington Heights,3.0,332.0
308,Comfy New York City Launching Pad!! Astoria NYC,Astoria,,69.0
309,Charming Loft in the East Village,East Village,,120.0
310,Charming & Spacious One Bedroom,Bedford-Stuyvesant,,200.0
311,Cozy 1BD in Greenwich Village w/ large workspace,Greenwich Village,3.0,182.0
312,Lovely 1 bdrm in Prospect Heights!,Prospect Heights,2.0,130.0
313,The biggest small apt in Manhattan,Lower East Side,5.0,60.0
314,Spacious & Sunny in Prime Brooklyn,Clinton Hill,4.25,150.0
315,Designer open space in TriBeCa Soho 1000sq ft,SoHo,5.0,180.0
316,"1 br. studio duplex,  Park Slope/Gowanus, Brooklyn",Park Slope,,185.0
317,Stylish Manhattan North Apartment,Harlem,2.333333333333333,85.0
318,"Clean, sunny 2BR in Brooklyn's Nicest Area",South Slope,1.0,117.0
319,GREAT 1BR/2BA TERRACE & W/D! in EV!,East Village,4.2,350.0
320,Wonderful east village floor thru,East Village,3.0,160.0
321,Big Beautiful Brooklyn Apt @ Park!,Prospect-Lefferts Gardens,,122.0
322,"Sunny, Clean, Minimal, Modern Apt",Lower East Side,4.0,225.0
323,"Gorgeous Park Slope, BK triplex 4BD",Park Slope,3.0,425.0
324,"Private,Affordable, 20 min to NYC!",Ridgewood,2.6666666666666665,79.0
325,Spacious one bedroom apartment in Brooklyn Heights,Brooklyn Heights,,200.0
326,A GEM IN THE CITY,Ridgewood,3.6666666666666665,75.0
327,Cozy 1BD Manhattan close Central Pk,Upper East Side,4.333333333333333,100.0
328,Lovely Chelsea 1 Bedroom,Chelsea,,125.0
329,"Cozy, Hella Sunny, and Convenient!",Prospect Heights,4.0,125.0
330,UWS  Brownstone 1 BR with Large Office +Garden.,Upper West Side,3.0,1000.0
331,Boerum Hill Brownstone Garden Duplx,Boerum Hill,5.0,376.0
332,Spacious Greenwich Village Loft,West Village,4.0,300.0
333,Greenwich Village Skylit 1BR +deck!,Greenwich Village,5.0,293.0
334,BIG Light-Filled Loft Apartment & Art Studio,Bushwick,5.0,115.0
335,"1 BR, Book it 1st then write me",Jackson Heights,4.0,99.0
336,Beautiful apt 10 min to Wbrg!,Ridgewood,4.0,70.0
337,"No Inq,Read it, 1 BR, Rt of Subway,",Jackson Heights,,99.0
338,Beautiful apartment in Park Slope,Park Slope,4.5,120.0
339,1BR Loft in Brooklyn,Clinton Hill,,160.0
340,Beautiful Ft. Greene Apartment-NEW!,Clinton Hill,4.0,160.0
341,Tranquility & convenience in Bklyn,Windsor Terrace,,357.0
342,Artfully Decorated 2 Bedroom Apt,Longwood,5.0,93.0
343,Rare Loft Apt in Heart of Brooklyn,Boerum Hill,2.0,180.0
344,1 bdrm brownstone-west 70's-1 block Central Park,Upper West Side,4.0,375.0
345,Come stay in super comfy and cozy!,Midtown,4.0,265.0
346,Sweet apt in Prospect Heights BK NY,Prospect Heights,,400.0
347,Brooklyn Apartment Windsor Terrace,Windsor Terrace,4.0,159.0
348,"Exciting Lower East Side, Loft Life",Lower East Side,,240.0
349,West Village Haven,West Village,,207.0
350,"Bright, Renovated 1BR in Historic Brownstone",Harlem,3.75,269.0
351,"Cozy 1BR apart. in Prospect Hts, BK",Prospect Heights,4.0,125.0
352,For Cat-Lovers ONLY,Inwood,4.666666666666667,99.0
353,Romantic Bushwick Loft with Stellar Skyline View,Bushwick,,275.0
354,"Sunny, spacious 1-bedroom in Upper Manhattan",Inwood,,163.0
355,1 BR Old School Village Charm - 30 day+ stay,Greenwich Village,5.0,137.0
356,Big nice one bedroom apartment by Prospect Park,Prospect-Lefferts Gardens,3.0,110.0
357,A Little West Village Charm,West Village,,295.0
358,Beautiful One Bedroom in Chelsea,Chelsea,3.0,139.0
359,Cozy Studio Apt in Historic Brownstone,Harlem,,90.0
360,Full Apt! L Train On The Corner!!,Williamsburg,5.0,90.0
361,West Village Gem - 2BR,Greenwich Village,3.75,315.0
362,"Sunny, Quiet, 2 bedroom apartment",Sunset Park,3.0,88.0
363,Beautiful apartment in the heart of The Village,East Village,4.5,168.0
364,Beautiful Views Pre-War 1 bedroom Elevator,Inwood,5.0,106.0
365,******AMAZING DEAL IN NYC*****,Upper East Side,4.0,150.0
366,Stylish Uptown Westside Apt.,Harlem,,196.0
367,Beautiful duplex apt in Harlem,Harlem,4.666666666666667,80.0
368,"Entire loft, best Williamsburg",Williamsburg,3.75,289.0
369,Stylish 1BR in the heart of Nolita,SoHo,5.0,240.0
370,Historic 3 Bedroom Eastern Parkway,Crown Heights,,250.0
371,"Spacious apt in South Harlem, steps to subways !",Harlem,5.0,155.0
372,"In the Hub of Union Square, NYC",East Village,,189.0
373,Luxury 2-bdrm w Piano & Gym,Sunset Park,5.0,120.0
374,1 corner bedroom with lots of light,Upper East Side,4.5,105.0
375,West Side-C Park-Columbia Convenient & Quiet,Upper West Side,4.0,175.0
376,COMFY-CUTE-N-CLEAN APT in WBURG,Williamsburg,4.5,180.0
377,W'burg 2 bdr w/ yard. Close to L. 100+ 5* reviews.,Williamsburg,5.0,306.0
378,NYC Whole Apt.  Dec 26th- Feb 3rd,Harlem,4.0,105.0
379,3BR in The Heart of Williamsburg,Williamsburg,4.0,500.0
380,East Village perch!,East Village,,175.0
381,Curated 1BR on the prettiest block of the LES,Lower East Side,,400.0
382,INSANE NYC views! Live in the sky!,Hells Kitchen,5.0,375.0
383,Central Park Luxury ( BEST DEAL ;),Upper West Side,4.0,154.0
384,"1br +, healthclub, balcony, Upper East Side",Upper East Side,3.0,170.0
385,Great 1br East Village Apartment,East Village,4.333333333333333,160.0
386,1 BR with garden--East Village,East Village,1.0,90.0
387,"1-BDRM, Good Light, Fire-Escape, AC",Crown Heights,4.0,115.0
388,"Lrg1Bdrm, Terrace w/ Cent.Park View",Upper West Side,,225.0
389,Duplex Loft Suite with Patio,Greenpoint,,328.0
390,East Village 1 Bedroom Apartment,East Village,,275.0
391,Duplex Loft Suite with Patio,Greenpoint,2.6666666666666665,328.0
392,Amazing NY apartment SoHo/Nolita/COVID-19 approved,NoHo,1.0,300.0
393,Gorgeous Apt Heart of West Villlage,West Village,4.0,250.0
