id,customer,accommodation,start_date,end_date,cost
154,5801,6307,2021-04-13,2021-04-16,360.0
155,2954,949,2016-07-03,2016-07-06,1875.0
156,1366,1680,2019-11-15,2019-11-18,600.0
157,6276,6845,2017-08-28,2017-08-31,630.0
158,4547,11618,2019-11-10,2019-11-13,1128.0
159,8994,7010,2019-11-07,2019-11-10,1575.0
160,5997,11679,2020-05-04,2020-05-07,270.0
161,8299,3718,2015-02-06,2015-02-09,648.0
162,4236,8372,2016-03-21,2016-03-24,210.0
163,1348,11965,2015-04-23,2015-04-26,807.0
164,9344,87,2016-02-16,2016-02-19,450.0
165,1560,3758,2021-01-15,2021-01-18,255.0
167,1171,13650,2016-06-04,2016-06-07,1125.0
168,7672,15385,2018-04-01,2018-04-04,285.0
169,409,1370,2017-09-25,2017-09-28,567.0
170,193,8026,2022-03-14,2022-03-17,1200.0
171,1269,8237,2018-09-20,2018-09-23,600.0
172,92,7894,2018-10-21,2018-10-24,357.0
173,6559,16076,2019-07-04,2019-07-07,315.0
174,1844,14531,2021-11-28,2021-12-01,555.0
175,2027,3894,2018-10-21,2018-10-24,1017.0
176,4371,2876,2017-10-12,2017-10-15,891.0
177,6425,13623,2019-10-30,2019-11-02,2097.0
178,7464,1523,2020-04-30,2020-05-03,600.0
179,7551,1279,2021-03-16,2021-03-19,498.0
180,9040,5959,2016-02-03,2016-02-06,480.0
181,732,1984,2017-03-19,2017-03-22,279.0
182,8705,4470,2021-05-23,2021-05-26,687.0
183,7223,2929,2021-03-29,2021-04-01,288.0
184,6567,9473,2022-01-08,2022-01-11,870.0
185,5422,12904,2018-08-08,2018-08-11,270.0
186,5201,11285,2022-08-01,2022-08-04,1371.0
187,9096,8643,2019-12-09,2019-12-12,1131.0
188,2660,209,2022-11-07,2022-11-10,405.0
189,5124,16478,2017-07-31,2017-08-03,1005.0
190,119,1922,2021-08-22,2021-08-25,168.0
191,1016,14099,2016-04-23,2016-04-26,348.0
193,3127,11675,2015-05-20,2015-05-23,744.0
194,9187,10749,2018-03-28,2018-03-31,435.0
195,9914,11343,2018-07-30,2018-08-02,255.0
196,1220,3250,2019-11-29,2019-12-02,450.0
197,340,12305,2015-02-21,2015-02-24,435.0
198,6419,15140,2021-06-21,2021-06-24,396.0
199,4130,6492,2018-07-15,2018-07-18,180.0
200,7933,8285,2019-04-29,2019-05-02,270.0
202,4054,4660,2016-07-14,2016-07-17,111.0
203,528,14729,2022-03-27,2022-03-30,1140.0
204,2061,6828,2016-09-27,2016-09-30,1149.0
205,6852,13154,2022-08-01,2022-08-04,435.0
206,5776,12774,2017-02-23,2017-02-26,396.0
207,2048,9253,2015-08-03,2015-08-06,600.0
208,1869,2931,2016-07-19,2016-07-22,330.0
209,7624,3187,2017-07-03,2017-07-06,450.0
210,6110,1663,2016-01-19,2016-01-22,600.0
211,5476,14098,2017-03-02,2017-03-05,1023.0
212,1431,12653,2015-09-23,2015-09-26,690.0
213,2064,14479,2021-10-03,2021-10-06,1830.0
214,3522,7788,2017-11-19,2017-11-22,675.0
215,8280,10782,2019-10-19,2019-10-22,660.0
216,384,1003,2015-01-31,2015-02-03,450.0
217,8122,7766,2019-08-02,2019-08-05,435.0
218,4700,11261,2018-05-16,2018-05-19,186.0
219,7277,13828,2021-08-30,2021-09-02,834.0
220,8563,7125,2020-03-22,2020-03-25,321.0
221,1153,15463,2018-12-20,2018-12-23,510.0
222,4685,2676,2017-06-07,2017-06-10,1050.0
223,5289,9338,2021-08-08,2021-08-11,57.0
224,139,10104,2019-05-08,2019-05-11,546.0
225,6,14413,2020-12-15,2020-12-18,744.0
226,6562,11939,2016-07-17,2016-07-20,870.0
227,8316,13632,2020-02-03,2020-02-06,462.0
228,1423,16062,2018-03-04,2018-03-07,360.0
229,4790,11652,2021-06-26,2021-06-29,126.0
230,8590,3097,2017-10-14,2017-10-17,762.0
231,3095,8282,2016-05-31,2016-06-03,510.0
232,5689,11276,2020-06-04,2020-06-07,483.0
233,1815,14111,2018-04-09,2018-04-12,270.0
234,5126,8544,2021-03-12,2021-03-15,486.0
235,2439,16122,2021-09-24,2021-09-27,294.0
236,9515,14862,2016-03-08,2016-03-11,6921.0
237,2181,1876,2015-10-02,2015-10-05,360.0
238,1200,12084,2019-01-19,2019-01-22,480.0
239,930,13724,2020-07-02,2020-07-05,765.0
240,1613,2270,2022-05-09,2022-05-12,480.0
241,5156,7258,2022-10-23,2022-10-26,225.0
242,2957,2961,2015-07-09,2015-07-12,831.0
243,4519,16366,2018-02-09,2018-02-12,1095.0
244,5793,11147,2016-07-16,2016-07-19,345.0
245,8796,7962,2018-12-07,2018-12-10,285.0
246,3269,6324,2017-03-22,2017-03-25,420.0
247,1259,3889,2015-05-18,2015-05-21,597.0
248,7440,5269,2020-12-17,2020-12-20,288.0
249,4648,1908,2015-01-14,2015-01-17,720.0
250,1847,1767,2017-01-15,2017-01-18,510.0
251,2357,3648,2018-12-23,2018-12-26,1125.0
252,1288,11569,2019-08-31,2019-09-03,1167.0
253,162,7669,2021-04-03,2021-04-06,825.0
254,1675,4289,2019-10-01,2019-10-04,195.0
255,9704,504,2018-01-04,2018-01-07,450.0
256,1801,5491,2015-04-13,2015-04-16,360.0
257,3912,10598,2017-03-14,2017-03-17,492.0
258,5070,7662,2021-03-17,2021-03-20,204.0
260,6068,2420,2018-10-17,2018-10-20,480.0
261,1472,6110,2018-07-07,2018-07-10,471.0
262,8241,9064,2021-04-15,2021-04-18,180.0
263,4871,7799,2021-06-21,2021-06-24,297.0
264,7737,7779,2016-06-16,2016-06-19,687.0
265,5748,11860,2018-10-29,2018-11-01,297.0
266,6409,7212,2021-06-23,2021-06-26,480.0
267,551,15924,2015-08-01,2015-08-04,297.0
268,6425,14235,2015-06-30,2015-07-03,312.0
269,2524,12673,2018-11-12,2018-11-15,450.0
270,7551,8099,2015-12-10,2015-12-13,600.0
271,5120,4954,2017-04-28,2017-05-01,474.0
272,9438,7841,2020-06-28,2020-07-01,660.0
273,1309,7856,2021-07-06,2021-07-09,525.0
274,9670,5220,2019-12-23,2019-12-26,537.0
275,3824,14551,2021-05-16,2021-05-19,567.0
276,3226,14263,2018-01-21,2018-01-24,987.0
277,6465,15484,2019-09-27,2019-09-30,1440.0
278,4174,1353,2015-01-06,2015-01-09,495.0
279,6903,8071,2022-09-19,2022-09-22,345.0
280,3587,4912,2020-07-24,2020-07-27,315.0
281,6510,7977,2018-07-04,2018-07-07,549.0
282,2707,10361,2019-08-29,2019-09-01,900.0
283,8875,1744,2017-02-16,2017-02-19,600.0
284,7741,4068,2019-02-27,2019-03-02,1350.0
285,3682,4845,2015-05-16,2015-05-19,675.0
286,2083,5529,2019-07-20,2019-07-23,345.0
287,6916,15958,2021-10-01,2021-10-04,474.0
288,7725,8410,2015-07-29,2015-08-01,975.0
289,7232,6070,2017-05-16,2017-05-19,777.0
290,8136,11194,2019-05-22,2019-05-25,621.0
291,9294,12675,2017-04-07,2017-04-10,660.0
292,9966,10513,2021-12-28,2021-12-31,777.0
293,793,12700,2017-04-19,2017-04-22,255.0
294,4753,56,2021-05-05,2021-05-08,495.0
295,3278,1244,2020-08-12,2020-08-15,750.0
296,6629,5543,2021-12-06,2021-12-09,825.0
297,6544,3318,2015-09-15,2015-09-18,558.0
298,7934,13764,2015-11-14,2015-11-17,795.0
299,4005,10934,2016-06-28,2016-07-01,480.0
300,7227,8686,2019-09-21,2019-09-24,405.0
301,1690,7775,2021-07-18,2021-07-21,900.0
302,6044,8094,2016-10-27,2016-10-30,897.0
303,45,551,2015-08-14,2015-08-17,2367.0
304,6585,16445,2017-04-04,2017-04-07,600.0
305,377,9586,2022-07-31,2022-08-03,900.0
306,1748,11339,2020-04-06,2020-04-09,477.0
307,6742,10098,2017-06-23,2017-06-26,837.0
308,3456,14051,2019-11-09,2019-11-12,450.0
309,6265,5975,2018-06-17,2018-06-20,420.0
310,1780,10994,2021-04-06,2021-04-09,951.0
311,3827,15225,2021-01-13,2021-01-16,1032.0
312,2343,10729,2020-11-06,2020-11-09,516.0
313,1929,9801,2018-07-28,2018-07-31,897.0
314,381,4571,2016-03-07,2016-03-10,360.0
315,1405,9902,2020-10-03,2020-10-06,657.0
316,7085,5486,2017-12-27,2017-12-30,270.0
317,9116,15317,2016-11-22,2016-11-25,846.0
318,9120,1384,2019-10-06,2019-10-09,270.0
319,1029,4773,2015-07-16,2015-07-19,1950.0
320,4972,12590,2016-12-17,2016-12-20,492.0
321,6113,9010,2018-05-13,2018-05-16,450.0
322,1588,1861,2022-08-18,2022-08-21,690.0
323,5185,8789,2020-04-07,2020-04-10,555.0
324,1725,163,2020-10-10,2020-10-13,984.0
325,7932,2993,2016-09-08,2016-09-11,870.0
326,6787,7785,2017-01-24,2017-01-27,375.0
327,8636,6546,2019-09-10,2019-09-13,705.0
328,6691,1073,2015-03-27,2015-03-30,444.0
329,4498,14830,2020-05-31,2020-06-03,576.0
330,3125,9497,2018-03-01,2018-03-04,666.0
331,9807,6793,2018-02-17,2018-02-20,9600.0
332,308,1596,2018-07-06,2018-07-09,462.0
333,3698,7950,2015-08-15,2015-08-18,1044.0
334,588,10587,2016-10-26,2016-10-29,693.0
335,7425,875,2022-05-18,2022-05-21,420.0
336,4532,8680,2021-03-29,2021-04-01,2400.0
337,715,12497,2022-05-23,2022-05-26,1350.0
338,9431,16173,2020-05-28,2020-05-31,240.0
339,5531,8954,2018-09-23,2018-09-26,378.0
340,8663,13317,2022-07-14,2022-07-17,1125.0
341,5951,2903,2017-08-08,2017-08-11,825.0
342,6188,6865,2014-12-27,2014-12-30,279.0
343,5347,11231,2018-09-23,2018-09-26,240.0
344,9655,6776,2017-08-14,2017-08-17,360.0
345,2938,15184,2018-05-29,2018-06-01,348.0
346,9538,2476,2017-08-02,2017-08-05,234.0
347,3259,8586,2021-11-13,2021-11-16,225.0
348,8449,15629,2020-02-20,2020-02-23,540.0
349,4999,3170,2020-09-17,2020-09-20,300.0
350,1343,15144,2021-07-23,2021-07-26,345.0
351,4053,16201,2018-12-08,2018-12-11,270.0
353,2567,1311,2017-05-11,2017-05-14,435.0
354,4370,840,2020-06-01,2020-06-04,642.0
355,3123,13886,2015-11-09,2015-11-12,228.0
356,3897,16059,2018-03-20,2018-03-23,417.0
357,2645,8645,2018-01-13,2018-01-16,453.0
358,5675,7904,2022-09-16,2022-09-19,279.0
359,309,7801,2020-11-25,2020-11-28,255.0
360,8966,11441,2017-02-20,2017-02-23,642.0
361,9605,6656,2020-02-01,2020-02-04,300.0
362,8238,3305,2022-06-11,2022-06-14,315.0
363,8075,16232,2017-07-03,2017-07-06,567.0
364,2276,2880,2022-10-28,2022-10-31,600.0
365,8479,1792,2015-01-23,2015-01-26,246.0
366,6525,15005,2018-07-28,2018-07-31,603.0
367,2524,1191,2015-05-07,2015-05-10,300.0
368,3197,16086,2016-03-26,2016-03-29,687.0
369,888,6496,2015-06-18,2015-06-21,450.0
370,4740,10016,2016-04-17,2016-04-20,714.0
371,2322,9377,2016-09-20,2016-09-23,750.0
372,5855,6018,2018-02-01,2018-02-04,363.0
373,2520,6749,2016-05-10,2016-05-13,213.0
374,8616,14784,2018-03-25,2018-03-28,372.0
375,8528,5358,2020-12-08,2020-12-11,825.0
376,2569,13139,2017-03-16,2017-03-19,1113.0
377,153,10644,2019-02-01,2019-02-04,108.0
378,1589,1995,2017-08-08,2017-08-11,1500.0
379,6529,11286,2019-03-05,2019-03-08,1266.0
380,1179,5881,2020-09-30,2020-10-03,585.0
381,1595,11782,2017-08-09,2017-08-12,840.0
382,1036,13574,2020-06-21,2020-06-24,1470.0
383,4462,13409,2019-02-15,2019-02-18,429.0
384,5164,14538,2016-04-14,2016-04-17,330.0
385,6614,10271,2021-01-06,2021-01-09,369.0
386,8647,5552,2018-04-18,2018-04-21,2037.0
387,253,2705,2019-01-19,2019-01-22,507.0
388,1448,11533,2018-10-19,2018-10-22,480.0
389,4997,361,2020-04-09,2020-04-12,945.0
390,8426,10305,2019-08-02,2019-08-05,501.0
391,8767,14776,2020-04-01,2020-04-04,882.0
392,6733,12851,2015-10-02,2015-10-05,195.0
393,7729,10414,2018-02-13,2018-02-16,435.0
394,9787,3806,2016-05-23,2016-05-26,384.0
395,7893,10353,2015-08-23,2015-08-26,672.0
396,71,11729,2015-12-19,2015-12-22,330.0
397,6569,6818,2017-09-08,2017-09-11,480.0
398,4672,12569,2017-04-07,2017-04-10,1155.0
399,8220,11039,2022-08-19,2022-08-22,585.0
401,4632,16247,2015-09-17,2015-09-20,195.0
402,6063,14236,2017-05-25,2017-05-28,1155.0
403,5469,11729,2019-05-10,2019-05-13,330.0
404,7728,2253,2015-12-25,2015-12-28,465.0
405,7530,6830,2018-03-09,2018-03-12,549.0
406,5199,12032,2022-12-01,2022-12-04,435.0
407,6627,12743,2021-08-21,2021-08-24,825.0
408,1245,6278,2021-03-21,2021-03-24,600.0
409,2628,3753,2020-11-12,2020-11-15,456.0
410,1766,8697,2022-07-28,2022-07-31,1197.0
411,4055,10585,2020-12-01,2020-12-04,714.0
412,9835,16086,2016-11-17,2016-11-20,687.0
413,4788,915,2020-06-03,2020-06-06,3600.0
414,9370,10498,2015-07-02,2015-07-05,660.0
415,4247,5289,2021-07-16,2021-07-19,450.0
416,7563,10176,2016-05-28,2016-05-31,240.0
417,4353,4815,2016-10-07,2016-10-10,297.0
418,8957,6023,2018-08-25,2018-08-28,450.0
419,7963,9861,2021-03-21,2021-03-24,1596.0
420,1557,9936,2018-12-25,2018-12-28,966.0
421,4232,12701,2015-01-25,2015-01-28,717.0
422,5952,14856,2016-09-22,2016-09-25,1260.0
423,2367,12987,2020-01-23,2020-01-26,465.0
424,9880,6573,2015-04-21,2015-04-24,921.0
425,126,7715,2017-11-16,2017-11-19,405.0
426,4712,14954,2015-12-21,2015-12-24,375.0
427,7329,8699,2018-12-22,2018-12-25,270.0
428,9337,1625,2018-10-11,2018-10-14,597.0
429,459,10448,2021-06-01,2021-06-04,111.0
430,7166,6593,2019-01-06,2019-01-09,1023.0
431,1211,8857,2021-07-31,2021-08-03,450.0
432,9529,11956,2016-02-27,2016-03-01,642.0
433,9858,14600,2020-01-09,2020-01-12,495.0
434,4782,14142,2022-01-17,2022-01-20,2484.0
435,181,7327,2015-10-01,2015-10-04,411.0
436,2148,9996,2020-08-14,2020-08-17,300.0
437,9329,10408,2019-02-08,2019-02-11,237.0
438,8171,3031,2016-09-16,2016-09-19,456.0
439,5109,8018,2022-09-06,2022-09-09,360.0
440,8180,6823,2017-06-19,2017-06-22,375.0
441,8882,8627,2019-02-20,2019-02-23,567.0
442,3065,2891,2021-01-18,2021-01-21,660.0
443,4598,8585,2022-08-24,2022-08-27,255.0
444,9689,1644,2017-06-30,2017-07-03,273.0
445,1131,7945,2016-05-17,2016-05-20,1167.0
446,1645,3093,2020-06-20,2020-06-23,450.0
447,1985,861,2017-04-09,2017-04-12,300.0
448,8650,16186,2019-03-17,2019-03-20,219.0
450,9788,10514,2016-10-11,2016-10-14,357.0
451,8926,10035,2019-02-03,2019-02-06,597.0
452,6365,2845,2021-04-03,2021-04-06,975.0
453,8758,4049,2022-02-06,2022-02-09,1350.0
454,5799,2105,2020-08-26,2020-08-29,360.0
455,7826,3719,2022-06-09,2022-06-12,450.0
456,4557,5894,2015-09-04,2015-09-07,585.0
457,7636,3428,2022-03-09,2022-03-12,975.0
458,3877,13330,2019-05-09,2019-05-12,1050.0
459,9740,14495,2015-01-07,2015-01-10,360.0
460,6129,5486,2015-10-13,2015-10-16,270.0
461,3990,10996,2019-02-06,2019-02-09,960.0
462,6024,14498,2022-07-20,2022-07-23,885.0
463,8406,11732,2021-02-03,2021-02-06,219.0
464,648,1758,2015-08-03,2015-08-06,411.0
465,8230,10475,2019-06-10,2019-06-13,360.0
466,936,2308,2021-04-04,2021-04-07,579.0
467,3878,9914,2015-04-18,2015-04-21,300.0
468,2688,14817,2018-06-11,2018-06-14,240.0
469,8010,11447,2019-08-28,2019-08-31,609.0
470,8624,14125,2016-09-18,2016-09-21,597.0
471,1119,7212,2021-09-07,2021-09-10,480.0
472,5468,7134,2017-04-03,2017-04-06,510.0
473,4077,9642,2019-07-11,2019-07-14,558.0
474,2122,8318,2022-06-30,2022-07-03,4500.0
475,9625,14671,2017-01-11,2017-01-14,258.0
476,6893,2185,2015-08-21,2015-08-24,300.0
477,3277,3732,2020-01-21,2020-01-24,684.0
478,9200,13713,2018-02-08,2018-02-11,402.0
479,5036,5675,2017-06-05,2017-06-08,210.0
480,9759,15485,2017-09-21,2017-09-24,750.0
481,2990,4838,2019-01-17,2019-01-20,267.0
482,8247,16050,2016-05-19,2016-05-22,570.0
484,9961,7748,2021-04-27,2021-04-30,420.0
485,1978,13850,2022-10-21,2022-10-24,750.0
486,4888,6854,2020-07-05,2020-07-08,306.0
487,1540,13,2022-07-14,2022-07-17,435.0
489,6239,2314,2022-10-22,2022-10-25,405.0
490,4875,12963,2022-11-22,2022-11-25,525.0
491,4533,6263,2016-10-20,2016-10-23,255.0
492,4339,7221,2015-01-02,2015-01-05,600.0
493,2249,6700,2015-12-13,2015-12-16,1665.0
494,5991,5242,2017-09-26,2017-09-29,846.0
495,793,1968,2020-11-18,2020-11-21,600.0
496,6881,10493,2019-11-11,2019-11-14,1050.0
497,3891,5322,2018-12-13,2018-12-16,1185.0
498,9142,1285,2022-01-28,2022-01-31,228.0
499,7943,7365,2017-07-06,2017-07-09,1068.0
500,124,12723,2017-11-03,2017-11-06,222.0
501,3322,12116,2016-02-18,2016-02-21,969.0
502,1033,5525,2016-08-17,2016-08-20,510.0
503,9958,12001,2016-02-23,2016-02-26,435.0
504,4110,12539,2022-04-04,2022-04-07,846.0
505,3802,10395,2021-03-07,2021-03-10,1047.0
506,4529,10452,2018-04-13,2018-04-16,3600.0
507,9162,6748,2017-08-13,2017-08-16,216.0
508,5377,9626,2021-07-01,2021-07-04,105.0
509,5548,12701,2020-04-24,2020-04-27,717.0
510,8236,7723,2017-01-05,2017-01-08,726.0
511,207,12081,2018-07-30,2018-08-02,750.0
512,309,14515,2019-12-31,2020-01-03,1221.0
513,1923,12894,2019-02-07,2019-02-10,792.0
514,1927,13491,2018-06-02,2018-06-05,1143.0
515,4271,10929,2021-11-11,2021-11-14,1260.0
516,2454,6998,2015-12-05,2015-12-08,180.0
517,1390,8650,2018-03-25,2018-03-28,633.0
518,4871,274,2021-09-13,2021-09-16,600.0
519,3979,2609,2016-01-19,2016-01-22,204.0
520,6748,7245,2018-03-24,2018-03-27,900.0
521,4455,10484,2019-07-25,2019-07-28,840.0
522,5405,12085,2015-06-06,2015-06-09,603.0
523,4273,8859,2015-12-10,2015-12-13,255.0
524,8800,14342,2021-10-24,2021-10-27,1605.0
525,8633,10744,2016-05-29,2016-06-01,1992.0
526,6137,1484,2021-07-25,2021-07-28,426.0
527,2344,1906,2021-08-05,2021-08-08,390.0
528,1588,1741,2019-06-23,2019-06-26,450.0
529,696,9708,2016-07-04,2016-07-07,507.0
530,2375,1740,2019-03-17,2019-03-20,240.0
531,8426,13045,2015-09-01,2015-09-04,345.0
532,1720,778,2020-11-24,2020-11-27,294.0
533,7967,3340,2021-10-19,2021-10-22,3480.0
534,8430,2057,2020-05-04,2020-05-07,480.0
535,5986,13708,2016-04-28,2016-05-01,369.0
537,3976,2759,2018-04-10,2018-04-13,330.0
539,5894,10458,2016-06-24,2016-06-27,1101.0
540,4788,350,2021-04-19,2021-04-22,807.0
541,9973,12512,2020-08-29,2020-09-01,834.0
542,6190,9559,2015-12-30,2016-01-02,450.0
543,7656,5212,2019-02-18,2019-02-21,474.0
544,5361,14522,2020-10-10,2020-10-13,993.0
545,3759,13415,2022-08-03,2022-08-06,555.0
546,1172,1247,2016-03-29,2016-04-01,429.0
547,6993,8167,2016-03-04,2016-03-07,681.0
548,9141,11133,2018-09-18,2018-09-21,459.0
549,6685,1939,2015-09-01,2015-09-04,204.0
